3 4151
-0.692660 -1.123790 1.295076
-0.740485 -1.199880 1.322548
-0.398594 0.362295 3.503463
-0.366873 0.363090 3.461699
-0.336373 0.363262 3.420745
-0.278951 0.362101 3.341205
-0.226114 0.359459 3.264691
-0.177614 0.355884 3.191037
-0.133178 0.351831 3.120071
-0.092517 0.347677 3.051624
-0.055338 0.343729 2.985536
-0.021341 0.340237 2.921663
0.009766 0.337404 2.859871
0.038269 0.335390 2.800044
0.064447 0.334324 2.742079
0.088565 0.334307 2.685889
0.110877 0.335419 2.631398
0.131622 0.337725 2.578546
0.151027 0.341275 2.527281
0.169306 0.346111 2.477563
0.186658 0.352271 2.429361
0.203271 0.359785 2.382655
0.227188 0.373663 2.315373
0.250384 0.390765 2.251421
0.273363 0.411206 2.190831
0.296583 0.435119 2.133678
0.320471 0.462657 2.080083
0.345428 0.494001 2.030215
0.371832 0.529352 1.984297
0.400047 0.568937 1.942618
0.430425 0.613000 1.905536
0.463311 0.661796 1.873496
0.499045 0.715580 1.847036
0.537957 0.774592 1.826806
0.565825 0.816941 1.817158
0.595342 0.861754 1.810882
0.626598 0.909058 1.808270
0.659676 0.958862 1.809645
0.694652 1.011144 1.815359
0.731595 1.065846 1.825796
0.770558 1.122868 1.841371
0.811583 1.182054 1.862527
0.854690 1.243185 1.889729
0.899875 1.305966 1.923463
0.947106 1.370013 1.964221
1.021630 1.467375 2.039596
1.073588 1.532234 2.100010
1.543840 1.933995 2.968324
1.569240 1.939622 3.036615
1.593825 1.942170 3.105998
1.617488 1.941495 3.176245
1.640119 1.937470 3.247109
1.661607 1.929987 3.318323
1.681842 1.918957 3.389605
1.700714 1.904315 3.460658
1.718114 1.886018 3.531173
1.733939 1.864054 3.600833
1.748087 1.838438 3.669312
1.760463 1.809215 3.736286
