3 6342
1.071642 1.351827 2.492447
1.108605 1.391579 2.538306
1.146105 1.429460 2.589445
1.183915 1.464919 2.645820
1.221774 1.497364 2.707304
1.259389 1.526176 2.773678
1.296435 1.550720 2.844617
1.332556 1.570361 2.919684
1.367369 1.584482 2.998316
1.400469 1.592509 3.079831
1.431436 1.593934 3.163422
1.459838 1.588339 3.248168
1.485250 1.575422 3.333050
1.507254 1.555021 3.416971
1.525462 1.527133 3.498783
1.539520 1.491924 3.577320
1.549123 1.449740 3.651437
1.554030 1.401101 3.720048
1.554068 1.346691 3.782164
1.549147 1.287338 3.836929
1.539257 1.223987 3.883649
1.524479 1.157662 3.921813
1.504975 1.089433 3.951108
1.480992 1.020375 3.971419
1.452847 0.951527 3.982821
1.420923 0.883865 3.985567
1.385653 0.818266 3.980062
1.347508 0.755494 3.966834
1.306983 0.696181 3.946509
1.264586 0.640825 3.919775
1.220822 0.589789 3.887354
1.176182 0.543306 3.849977
1.131136 0.501493 3.808364
1.086123 0.464366 3.763199
1.041546 0.431851 3.715125
0.997766 0.403805 3.664731
0.955101 0.380032 3.612548
0.913829 0.360294 3.559046
0.874182 0.344332 3.504639
0.836350 0.331871 3.449683
0.800487 0.322631 3.394484
0.766710 0.316341 3.339300
0.735102 0.312736 3.284350
0.705721 0.311569 3.229817
0.678595 0.312612 3.175852
0.653736 0.315656 3.122583
0.631134 0.320516 3.070116
0.610766 0.327028 3.018539
0.592598 0.335051 2.967929
0.576587 0.344464 2.918350
0.562684 0.355169 2.869862
0.550834 0.367084 2.822515
0.536789 0.387096 2.753742
0.527054 0.409554 2.687806
0.521448 0.434388 2.624865
0.679216 0.847772 2.206098
0.714614 0.905660 2.196628
0.753634 0.966859 2.194958
0.781661 1.009397 2.198566
0.811291 1.053215 2.206237
0.842505 1.098177 2.218230
0.875275 1.144110 2.234808
0.909556 1.190795 2.256232
0.945286 1.237965 2.282763
0.982382 1.285295 2.314647
1.020736 1.332406 2.352107
1.060213 1.378852 2.395339
1.100648 1.424126 2.444492
1.141840 1.467658 2.499656
1.183551 1.508814 2.560849
1.225506 1.546907 2.627998
1.267387 1.581204 2.700925
1.308836 1.610937 2.779325
1.349454 1.635329 2.862759
1.388808 1.653608 2.950636
1.426429 1.665040 3.042211
1.444437 1.667978 3.089108
1.461826 1.668961 3.136578
1.478532 1.667922 3.184485
1.494490 1.664804 3.232684
1.509637 1.659555 3.281021
1.523909 1.652138 3.329337
1.537243 1.642526 3.377465
1.549578 1.630701 3.425236
1.560856 1.616664 3.472473
1.571020 1.600423 3.519001
1.580016 1.582006 3.564642
1.594309 1.538810 3.652556
1.603386 1.487562 3.734839
1.606978 1.428970 3.810205
1.604906 1.363943 3.877508
1.597092 1.293565 3.935788
1.583566 1.219045 3.984307
1.564462 1.141680 4.022568
1.540021 1.062793 4.050333
1.510578 0.983687 4.067611
1.476554 0.905595 4.074646
1.438439 0.829640 4.071888
1.396778 0.756802 4.059958
1.352152 0.687896 4.039606
1.305161 0.623564 4.011673
1.256407 0.564275 3.977048
1.206477 0.510328 3.936633
1.155934 0.461870 3.891311
1.105306 0.418915 3.841925
1.055072 0.381365 3.789257
1.005666 0.349029 3.734021
0.957466 0.321649 3.676849
0.910797 0.298920 3.618298
0.865932 0.280506 3.558847
0.823092 0.266055 3.498903
0.782450 0.255213 3.438806
0.744136 0.247635 3.378840
0.708241 0.242991 3.319234
0.674819 0.240973 3.260177
0.643896 0.241296 3.201818
0.615472 0.243704 3.144278
0.589527 0.247969 3.087651
0.566021 0.253890 3.032014
0.544905 0.261294 2.977428
0.526116 0.270037 2.923940
0.509586 0.279997 2.871592
0.495244 0.291076 2.820417
0.483014 0.303198 2.770447
0.472823 0.316308 2.721710
0.464598 0.330366 2.674233
0.455795 0.353189 2.605443
0.451043 0.378086 2.539656
0.450151 0.405105 2.476989
0.590022 0.751835 2.095257
0.623137 0.808356 2.075739
0.660000 0.868906 2.063207
0.686706 0.911526 2.059118
0.715144 0.955931 2.058741
0.745336 1.002072 2.062350
0.777294 1.049871 2.070242
0.811022 1.099212 2.082726
0.846510 1.149933 2.100126
0.883736 1.201821 2.122775
0.922654 1.254605 2.151007
0.963200 1.307949 2.185154
1.005278 1.361445 2.225530
1.048763 1.414606 2.272424
1.093495 1.466864 2.326080
1.139269 1.517564 2.386687
1.185839 1.565970 2.454350
1.232907 1.611261 2.529076
1.256522 1.632464 2.569056
1.280128 1.652550 2.610746
1.303671 1.671399 2.654108
1.327098 1.688889 2.699093
1.350349 1.704897 2.745641
1.373363 1.719299 2.793681
1.396076 1.731971 2.843127
1.418419 1.742791 2.893882
1.440323 1.751641 2.945837
1.461714 1.758405 2.998868
1.482519 1.762976 3.052839
1.502659 1.765250 3.107599
1.522057 1.765136 3.162987
1.540635 1.762549 3.218829
1.558313 1.757419 3.274939
1.575012 1.749686 3.331122
1.590655 1.739307 3.387173
1.605164 1.726253 3.442881
1.618465 1.710513 3.498027
1.630486 1.692092 3.552390
1.641159 1.671016 3.605745
1.650421 1.647328 3.657870
1.658211 1.621090 3.708544
1.664476 1.592384 3.757548
1.669169 1.561312 3.804676
1.672248 1.527991 3.849725
1.673681 1.492559 3.892507
1.673442 1.455167 3.932848
1.671512 1.415982 3.970589
1.667883 1.375183 4.005585
1.662554 1.332962 4.037716
1.655533 1.289518 4.066876
1.646836 1.245056 4.092982
1.636489 1.199787 4.115974
1.624526 1.153924 4.135811
1.610987 1.107678 4.152474
1.595923 1.061258 4.165965
1.579390 1.014869 4.176307
1.561452 0.968709 4.183542
1.521644 0.877818 4.188942
1.477114 0.789965 4.182830
1.428544 0.706326 4.166080
1.376654 0.627849 4.139717
1.322182 0.555246 4.104859
1.265860 0.488995 4.062661
1.208395 0.429358 4.014270
1.150455 0.376406 3.960786
1.092656 0.330046 3.903231
1.035551 0.290055 3.842532
0.979626 0.256109 3.779511
0.925300 0.227813 3.714880
0.872923 0.204728 3.649246
0.822777 0.186390 3.583114
0.775084 0.172335 3.516899
0.730006 0.162105 3.450935
0.687657 0.155264 3.385485
0.648103 0.151406 3.320755
0.611372 0.150156 3.256903
0.577459 0.151177 3.194044
0.546331 0.154168 3.132265
0.517933 0.158867 3.071626
0.492194 0.165045 3.012170
0.469029 0.172509 2.953925
0.448345 0.181099 2.896908
0.430044 0.190683 2.841131
0.414023 0.201155 2.786601
0.400180 0.212435 2.733321
0.388417 0.224466 2.681293
0.378636 0.237209 2.630522
0.370746 0.250642 2.581012
0.364662 0.264760 2.532768
0.358749 0.287245 2.462796
0.356488 0.311373 2.395736
0.357684 0.337276 2.331651
0.362183 0.365130 2.270625
0.481986 0.635825 1.943539
0.512245 0.688883 1.914662
0.546163 0.746456 1.891657
0.583920 0.808800 1.875232
